,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
33,Dennis Hamilton,1968,1971,F,6-8,210,"May 8, 1944",Arizona State
34,Joe Hamilton,1971,1976,G,5-10,160,"July 5, 1948",University of North Texas
35,Jordan Hamilton,2012,2016,G-F,6-7,220,"October 6, 1990",Texas
36,Justin Hamilton,2014,2017,C,7-0,260,"April 1, 1990","Iowa State, LSU"
37,Ralph Hamilton,1949,1949,G-F,6-1,188,"June 10, 1921",Indiana
38,Richard Hamilton,2000,2013,G-F,6-6,185,"February 14, 1978",UConn
39,Roy Hamilton,1980,1981,G,6-2,180,"July 20, 1957",UCLA
40,Steve Hamilton,1959,1960,F-C,6-6,190,"November 30, 1934",Morehead State University
41,Tang Hamilton,2002,2002,F,6-8,220,"May 26, 1978",Mississippi State
42,Thomas Hamilton,1996,2000,C,7-2,330,"April 3, 1975",Pitt
43,Zendon Hamilton,2001,2006,C-F,6-11,250,"April 27, 1975",St. John's
44,Geert Hammink,1994,1996,C,7-0,262,"July 12, 1969",LSU
45,Julian Hammond,1968,1972,F,6-5,205,"May 27, 1943",Tulsa
46,Tom Hammonds,1990,2001,F,6-9,215,"March 27, 1967",Georgia Tech
47,A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue
48,Joe Hamood,1968,1968,G,6-0,180,"September 7, 1943",Houston
49,R.J. Hampton,2021,2022,G,6-4,175,"February 7, 2001",
50,Darrin Hancock,1995,1997,G-F,6-7,205,"November 3, 1971",Kansas
51,Ben Handlogten,2004,2005,C,6-10,240,"November 16, 1973",Western Michigan
52,Cecil Hankins,1947,1948,G,6-1,175,"January 6, 1922",Oklahoma State
53,Phil Hankinson,1974,1975,F,6-8,195,"July 26, 1951",Penn
54,Dusty Hannahs,2019,2020,G,6-3,210,"September 2, 1993","Texas Tech, Arkansas"
55,Alex Hannum*,1950,1957,F-C,6-7,210,"July 19, 1923",USC
56,Don Hanrahan,1953,1953,F,6-7,200,"February 6, 1929",Loyola Chicago
57,Rollen Hans,1954,1955,G,6-2,210,"April 13, 1931",Long Island University
58,Ben Hansbrough,2013,2013,G,6-3,203,"December 23, 1987","Mississippi State, Notre Dame"
59,Tyler Hansbrough,2010,2016,F,6-9,250,"November 3, 1985",UNC
60,Bob Hansen,1984,1992,G,6-6,190,"January 18, 1961",Iowa
61,Glenn Hansen,1976,1978,G,6-4,205,"April 21, 1952",LSU
62,Lars Hansen,1979,1979,C,6-10,225,"September 14, 1954",Washington
63,Travis Hansen,2004,2004,G,6-6,205,"April 15, 1978","Utah Valley, BYU"
64,Reggie Hanson,1998,1998,F,6-8,195,"October 6, 1968",Kentucky
65,Bill Hanzlik,1981,1990,G-F,6-7,185,"December 6, 1957",Notre Dame
66,Luke Harangody,2011,2012,F,6-8,246,"January 2, 1988",Notre Dame
67,Anfernee Hardaway,1994,2008,G-F,6-7,195,"July 18, 1971",Memphis
68,Tim Hardaway*,1990,2003,G,6-0,175,"September 1, 1966",Texas-El Paso
69,Tim Hardaway Jr.,2014,2022,G,6-5,205,"March 16, 1992",Michigan
70,James Harden,2010,2022,G,6-5,220,"August 26, 1989",Arizona State
71,Reggie Harding,1964,1968,C,7-0,249,"May 4, 1942",
72,Charlie Hardnett,1963,1965,F-C,6-8,225,"September 13, 1938",Grambling State University
73,Alan Hardy,1981,1982,F,6-7,195,"May 25, 1957",Michigan
74,Darrell Hardy,1968,1968,F,6-7,220,,Baylor
75,James Hardy,1979,1982,F-C,6-8,220,"December 1, 1956",San Francisco
76,Ira Harge,1968,1973,C,6-9,225,"March 14, 1941",New Mexico
77,John Hargis,1950,1951,G-F,6-2,180,"August 20, 1920",Texas
78,Maurice Harkless,2013,2022,F-G,6-7,220,"May 11, 1993",St. John's
79,Jerry Harkness,1964,1969,G,6-2,175,"May 7, 1940",Loyola Chicago
80,Skip Harlicka,1969,1969,G,6-1,185,"October 14, 1946",South Carolina
81,Jerome Harmon,1995,1995,G,6-4,190,"February 6, 1969",Louisville
82,Derek Harper,1984,1999,G,6-4,185,"October 13, 1961",Illinois
83,Jared Harper,2020,2022,G,5-10,175,"September 14, 1997",Auburn
84,Justin Harper,2012,2017,F,6-10,225,"August 30, 1989",Richmond
85,Mike Harper,1981,1982,C-F,6-10,195,"December 9, 1957",North Park University
86,Ron Harper,1987,2001,G-F,6-6,185,"January 20, 1964",Miami University
87,Matt Harpring,1999,2009,F,6-7,231,"May 31, 1976",Georgia Tech
88,Montrezl Harrell,2016,2022,F-C,6-7,240,"January 26, 1994",Louisville
89,Josh Harrellson,2012,2014,C,6-10,275,"February 12, 1989",Kentucky
90,Adam Harrington,2003,2003,G,6-5,200,"July 5, 1980","NC State, Auburn"
91,Al Harrington,1999,2014,F,6-9,230,"February 17, 1980",
92,Junior Harrington,2003,2007,G,6-4,180,"October 2, 1980",Wingate University
93,Othella Harrington,1997,2008,F-C,6-9,235,"January 31, 1974",Georgetown
94,Art Harris,1969,1972,G,6-4,185,"January 13, 1947",Stanford
95,Bernie Harris,1975,1975,F,6-10,200,"November 26, 1950",VCU
96,Billy Harris,1975,1975,G,6-2,185,"November 12, 1951",Northern Illinois
97,Bob Harris,1950,1954,F-C,6-7,195,"March 16, 1927",Oklahoma State
98,Chris Harris,1956,1956,G,6-3,190,"August 11, 1933",Dayton
99,Devin Harris,2005,2019,G,6-3,185,"February 27, 1983",Wisconsin
100,Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga
101,Gary Harris,2015,2022,G,6-4,210,"September 14, 1994",Michigan State
102,Jalen Harris,2021,2021,G,6-5,195,"August 14, 1998","Nevada, Louisiana Tech"
103,Joe Harris,2015,2022,G,6-6,220,"September 6, 1991",Virginia
104,Lucious Harris,1994,2005,G,6-5,190,"December 18, 1970",Cal State Long Beach
105,Manny Harris,2011,2017,G,6-5,185,"September 21, 1989",Michigan
106,Mike Harris,2008,2014,F,6-6,240,"June 15, 1983",Rice University
107,Steve Harris,1986,1990,G,6-5,195,"October 15, 1963",Tulsa
108,Terrel Harris,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State
109,Tobias Harris,2012,2022,F,6-8,226,"July 15, 1992",Tennessee
110,Tony Harris,1991,1995,G,6-3,190,"May 13, 1967","Lamar, New Orleans"
111,Aaron Harrison,2016,2018,G,6-6,210,"October 28, 1994",Kentucky
112,Andrew Harrison,2017,2019,G,6-6,213,"October 28, 1994",Kentucky
113,Bob Harrison,1950,1958,G,6-1,190,"August 12, 1927",Michigan
114,David Harrison,2005,2008,C,7-0,280,"August 15, 1982",Colorado
115,Shaquille Harrison,2018,2022,G,6-7,190,"October 6, 1993",Tulsa
116,Jason Hart,2001,2010,G,6-3,185,"April 29, 1978",Syracuse
117,Josh Hart,2018,2022,G,6-5,215,"March 6, 1995",Villanova
118,Isaiah Hartenstein,2019,2022,F,7-0,250,"May 5, 1998",
119,Antonio Harvey,1994,2003,F-C,6-11,225,"July 6, 1970","Southern Illinois, Georgia, Pfeiffer University"
120,Donnell Harvey,2001,2005,F,6-8,220,"August 26, 1980",Florida
121,Scott Haskin,1994,1994,C-F,6-11,250,"September 19, 1970",Oregon State
122,Clem Haskins,1968,1976,G,6-3,195,"July 11, 1943",Western Kentucky
123,Udonis Haslem,2004,2022,F-C,6-8,235,"June 9, 1980",Florida
124,Trenton Hassell,2002,2010,G,6-5,200,"March 4, 1979",Austin Peay State University
125,Billy Hassett,1950,1951,G,5-11,180,"October 21, 1921",Notre Dame
126,Joe Hassett,1978,1983,G,6-5,180,"September 11, 1955",Providence
127,Scott Hastings,1983,1993,F-C,6-10,235,"June 3, 1960",Arkansas
128,Kirk Haston,2002,2003,F,6-9,242,"March 10, 1979",Indiana
129,Vern Hatton,1959,1962,G,6-3,195,"January 13, 1936",Kentucky
130,Sam Hauser,2022,2022,F,6-8,215,"December 8, 1997","Marquette, Virginia"
131,John Havlicek*,1963,1978,F-G,6-5,203,"April 8, 1940",Ohio State
132,Spencer Hawes,2008,2017,C-F,7-1,245,"April 28, 1988",Washington
133,Steve Hawes,1975,1984,C-F,6-9,220,"May 26, 1950",Washington
134,Bubbles Hawkins,1976,1979,G,6-4,190,"June 30, 1954",Illinois State
135,Connie Hawkins*,1968,1976,F-C,6-8,210,"July 17, 1942",Iowa
136,Hersey Hawkins,1989,2001,G,6-3,190,"September 29, 1966",Bradley
137,Juaquin Hawkins,2003,2003,G-F,6-7,220,"July 2, 1973",Cal State Long Beach
138,Marshall Hawkins,1950,1950,F,6-3,205,"August 3, 1924",Tennessee
139,Michael Hawkins,1997,2001,G,6-0,178,"October 28, 1972",Xavier
140,Tom Hawkins,1960,1969,F,6-5,210,"December 22, 1936",Notre Dame
141,Nate Hawthorne,1974,1976,G,6-4,190,"January 15, 1950",Southern Illinois
142,Chuck Hayes,2006,2016,F-C,6-6,240,"June 11, 1983",Kentucky
143,Elvin Hayes*,1969,1984,F-C,6-9,235,"November 17, 1945",Houston
144,Jarvis Hayes,2004,2010,F,6-7,220,"August 9, 1981","Western Carolina University, Georgia"
145,Jaxson Hayes,2020,2022,F,6-11,220,"May 23, 2000",Texas
146,Jim Hayes,1971,1971,G,6-3,200,"February 18, 1948",Boston University
147,Killian Hayes,2021,2022,G,6-5,195,"July 27, 2001",
148,Nigel Hayes,2018,2018,F,6-8,254,"December 16, 1994",Wisconsin
149,Steve Hayes,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
150,Gordon Hayward,2011,2022,F-G,6-7,225,"March 23, 1990",Butler
151,Lazar Hayward,2011,2013,F,6-6,225,"November 26, 1986",Marquette
152,Brendan Haywood,2002,2015,C,7-0,268,"November 27, 1979",UNC
153,Spencer Haywood*,1970,1983,F-C,6-8,225,"April 22, 1949",Detroit Mercy
154,John Hazen,1949,1949,G,6-2,172,"March 2, 1927",Indiana State University
155,Walt Hazzard,1965,1974,G,6-2,185,"April 15, 1942",UCLA
156,Luther Head,2006,2011,G,6-3,185,"November 26, 1982",Illinois
157,Shane Heal,1997,2004,G,6-0,180,"September 6, 1970",
158,Brian Heaney,1970,1970,G,6-2,180,"September 3, 1946",Acadia University
159,Gar Heard,1971,1981,F,6-6,219,"May 3, 1948",Oklahoma
160,Reggie Hearn,2018,2018,G,6-5,210,"August 14, 1991",Northwestern
161,Herm Hedderick,1955,1955,G,6-5,170,"January 10, 1930",Canisius
162,Alvin Heggs,1996,1996,F,6-8,225,"December 12, 1967",Texas
163,Tom Heinsohn*,1957,1965,F-C,6-7,218,"August 26, 1934",Holy Cross
164,Dick Hemric,1956,1957,F,6-6,220,"August 29, 1933",Wake Forest
165,Alan Henderson,1996,2007,F,6-9,235,"December 2, 1972",Indiana
166,Cedric Henderson,1987,1987,F,6-8,210,"October 3, 1965",Georgia
167,Cedric Henderson,1998,2002,F,6-7,215,"March 11, 1975",Memphis
168,Dave Henderson,1988,1988,G,6-5,195,"July 21, 1964",Duke
169,Gerald Henderson,1980,1992,G,6-2,175,"January 16, 1956",VCU
170,Gerald Henderson,2010,2017,G,6-5,215,"December 9, 1987",Duke
171,J.R. Henderson,1999,1999,F,6-8,226,"October 30, 1976",UCLA
172,Jerome Henderson,1986,1987,C-F,6-11,230,"October 5, 1959",New Mexico
173,Kevin Henderson,1987,1988,G,6-4,195,"March 22, 1964",Cal State Fullerton
174,Tom Henderson,1975,1983,G,6-3,190,"January 26, 1952",Hawaii
175,Mark Hendrickson,1997,2000,F,6-9,220,"June 23, 1974",Washington State
176,Larry Hennessy,1956,1957,G,6-3,185,"May 20, 1929",Villanova
177,Don Henriksen,1953,1955,F-C,6-7,225,"October 10, 1929",California
178,Aaron Henry,2022,2022,F,6-6,210,"August 30, 1999",Michigan State
179,Al Henry,1971,1972,C,6-9,190,"February 9, 1949",Wisconsin
180,Bill Henry,1949,1950,C,6-9,215,"December 27, 1924",Rice University
181,Carl Henry,1986,1986,G,6-6,205,"August 16, 1960","Oklahoma City University, Kansas"
182,Conner Henry,1987,1988,G,6-7,195,"July 21, 1963",UC Santa Barbara
183,Myke Henry,2018,2018,F,6-6,210,"December 23, 1992",DePaul
184,Skeeter Henry,1994,1994,G,6-7,190,"December 8, 1967","Midland College, Oklahoma"
185,Xavier Henry,2011,2015,G,6-6,220,"March 15, 1991",Kansas
186,John Henson,2013,2020,C-F,6-9,219,"December 28, 1990",UNC
187,Steve Henson,1991,1999,G,5-11,177,"February 2, 1968",Kansas State
188,Charles Hentz,1971,1971,F,6-5,210,"September 13, 1947",University of Arkansas at Pine Bluff
189,Bill Herman,1950,1950,G,6-3,170,"May 17, 1924",Mount Union College
190,Kleggie Hermsen,1947,1953,C-F,6-9,225,"March 12, 1923",Minnesota
191,Dewan Hernandez,2020,2020,F,6-10,235,"December 9, 1996",Miami (FL)
192,Juancho Hernangómez,2017,2022,F,6-9,214,"September 28, 1995",
193,Willy Hernangómez,2017,2022,C,6-11,250,"May 27, 1994",
194,Chris Herren,2000,2001,G,6-2,197,"September 27, 1975","Boston College, Fresno State"
195,Carl Herrera,1992,1999,F,6-9,215,"December 14, 1966","Jacksonville University, Houston"
196,Walter Herrmann,2007,2009,F,6-9,225,"June 26, 1979",
197,Tyler Herro,2020,2022,G,6-5,195,"January 20, 2000",Kentucky
198,Keith Herron,1979,1982,G-F,6-6,195,"June 14, 1956",Villanova
199,Sonny Hertzberg,1947,1951,G,5-10,175,"July 29, 1922",City College of New York
200,Kevin Hervey,2020,2020,F,6-9,230,"July 9, 1996",UT Arlington
201,Dan Hester,1971,1971,F,6-8,210,"November 8, 1948",LSU
202,Fred Hetzel,1966,1971,F-C,6-8,220,"July 21, 1942",Davidson
203,Bill Hewitt,1969,1975,F,6-7,210,"August 8, 1944",USC
204,Jack Hewson,1948,1948,F-C,6-6,195,"September 7, 1924",Temple
205,Art Heyman,1964,1970,F-G,6-5,205,"June 24, 1941",Duke
206,Mario Hezonja,2016,2020,F-G,6-8,220,"February 25, 1995",
207,Roy Hibbert,2009,2017,C,7-2,270,"December 11, 1986",Georgetown
208,Nat Hickey,1948,1948,G-F,5-11,180,"January 30, 1902",
209,Isaiah Hicks,2018,2019,F,6-9,230,"July 24, 1994",UNC
210,Phil Hicks,1977,1979,F,6-7,205,"January 31, 1953",Tulane
211,J.J. Hickson,2009,2016,F-C,6-9,242,"September 4, 1988",NC State
212,Buddy Hield,2017,2022,G,6-4,220,"December 17, 1992",Oklahoma
213,Bill Higgins,1975,1975,G,6-2,180,"December 15, 1952",Ashland University
214,Cory Higgins,2012,2013,G,6-5,180,"June 14, 1989",Colorado
215,Earle Higgins,1971,1971,F,6-8,195,"December 30, 1946",Eastern Michigan
216,Mike Higgins,1990,1991,F,6-9,220,"February 17, 1967",University of Northern Colorado
217,Rod Higgins,1983,1995,F,6-7,200,"January 31, 1960",Fresno State
218,Sean Higgins,1991,1998,G-F,6-9,205,"December 30, 1968",Michigan
219,Kenny Higgs,1979,1982,G,6-0,180,"January 31, 1955",LSU
220,Johnny High,1980,1984,G,6-3,185,"April 25, 1957",Nevada
221,Haywood Highsmith,2019,2022,F,6-7,220,"December 9, 1996",Wheeling University
222,Wayne Hightower,1963,1972,F-C,6-8,192,"January 14, 1940",Kansas
223,Nenê,2003,2019,F-C,6-11,250,"September 13, 1982",
224,Armond Hill,1977,1984,G,6-4,190,"March 31, 1953",Princeton
225,Cleo Hill,1962,1962,G,6-1,185,"May 24, 1938",Winston-Salem State
226,Gary Hill,1964,1965,G,6-4,185,"October 7, 1941",Oklahoma City University
227,George Hill,2009,2022,G,6-4,188,"May 4, 1986",IUPUI
228,Grant Hill*,1995,2013,F-G,6-8,225,"October 5, 1972",Duke
229,Jordan Hill,2010,2017,C-F,6-10,235,"July 27, 1987",Arizona
230,Malcolm Hill,2022,2022,F,6-6,220,"October 26, 1995",Illinois
231,Simmie Hill,1970,1974,F,6-7,233,"November 14, 1946",West Texas A&M University
232,Solomon Hill,2014,2022,F,6-6,226,"March 18, 1991",Arizona
233,Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",Arkansas
234,Tyrone Hill,1991,2004,F,6-9,240,"March 19, 1968",Xavier
235,Art Hillhouse,1947,1948,C,6-7,220,"June 12, 1916",Long Island University
236,Darrun Hilliard,2016,2018,G,6-6,205,"April 13, 1993",Villanova
237,Darnell Hillman,1972,1980,F-C,6-9,215,"August 29, 1949",San Jose State
238,Fred Hilton,1972,1973,G-F,6-3,185,"January 15, 1948",Grambling State University
239,Kirk Hinrich,2004,2016,G,6-4,190,"January 2, 1981",Kansas
240,Roy Hinson,1984,1991,F-C,6-9,210,"May 2, 1961",Rutgers University
241,Nate Hinton,2021,2022,G,6-5,210,"June 8, 1999",Houston
242,Mel Hirsch,1947,1947,G,5-6,165,"July 31, 1921",Brooklyn College
243,Lew Hitch,1952,1957,F-C,6-8,200,"July 16, 1929",Kansas State
244,Robert Hite,2007,2007,G,6-2,184,"January 12, 1984",Miami (FL)
245,Jaylen Hoard,2020,2022,F,6-8,216,"March 30, 1999",Wake Forest
246,Darington Hobson,2012,2012,G,6-7,210,"September 29, 1987",New Mexico
247,Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple
248,Julius Hodge,2006,2007,G,6-7,210,"November 18, 1983",NC State
249,Craig Hodges,1983,1992,G,6-2,190,"June 27, 1960",Cal State Long Beach
250,Charlie Hoefer,1947,1948,G,5-9,158,"September 16, 1921",Queens College
251,Paul Hoffman,1948,1955,G-F,6-2,195,"April 12, 1925",Purdue
252,Bob Hogsett,1967,1968,F,6-7,230,"January 29, 1941",Tennessee
253,Paul Hogue,1963,1964,C,6-9,240,"April 28, 1940",Cincinnati
254,Fred Hoiberg,1996,2005,G,6-4,203,"October 15, 1972",Iowa State
255,Doug Holcomb,1949,1949,F,6-4,200,"February 9, 1925",Wisconsin
256,Randy Holcomb,2006,2006,F,6-9,225,"August 8, 1979","Fresno State, San Diego State"
257,Aaron Holiday,2019,2022,G,6-0,185,"September 30, 1996",UCLA
258,Jrue Holiday,2010,2022,G,6-3,205,"June 12, 1990",UCLA
259,Justin Holiday,2013,2022,F,6-6,180,"April 5, 1989",Washington
260,Brad Holland,1980,1982,G,6-3,180,"December 6, 1956",UCLA
261,Joe Holland,1950,1952,F,6-4,185,"September 26, 1925",Kentucky
262,John Holland,2018,2019,G-F,6-5,205,"November 6, 1988",Boston University
263,Wilbur Holland,1976,1979,G,6-0,175,"November 8, 1951",New Orleans
264,Lionel Hollins,1976,1985,G,6-3,185,"October 19, 1953",Arizona State
265,Ryan Hollins,2007,2016,C,7-0,240,"October 10, 1984",UCLA
266,Essie Hollis,1979,1979,F,6-6,195,"May 16, 1955",St. Bonaventure
267,Rondae Hollis-Jefferson,2016,2021,F,6-6,217,"January 3, 1995",Arizona
268,Dennis Holman,1968,1968,G,6-3,175,"October 8, 1945",SMU
269,Richaun Holmes,2016,2022,F-C,6-10,235,"October 15, 1993",Bowling Green
270,Jim Holstein,1953,1956,F-G,6-3,180,"September 24, 1930",Cincinnati
271,A.W. Holt,1971,1971,F,6-7,210,"August 26, 1946",Jackson State University
272,Michael Holton,1985,1990,G,6-4,185,"August 4, 1961",UCLA
273,Dick Holub,1948,1948,C,6-6,205,"October 29, 1921",Long Island University
274,Joe Holup,1957,1959,F,6-6,215,"February 26, 1934",George Washington
275,Red Holzman*,1949,1954,G,5-10,175,"August 10, 1920",City College of New York
276,Jerald Honeycutt,1998,1999,F-G,6-9,245,"October 20, 1974",Tulane
277,Tyler Honeycutt,2012,2013,F,6-8,188,"July 15, 1990",UCLA
278,Derek Hood,2000,2000,F,6-8,222,"December 22, 1976",Arkansas
279,Rodney Hood,2015,2022,G-F,6-8,208,"October 20, 1992","Mississippi State, Duke"
280,Bobby Hooper,1969,1969,G,6-0,180,"December 22, 1946",Dayton
281,Carroll Hooser,1968,1968,F,6-7,230,"March 5, 1944",SMU
282,Tom Hoover,1964,1969,C,6-9,230,"January 23, 1941",Villanova
283,Bob Hopkins,1957,1960,C-F,6-8,205,"November 3, 1934",Grambling State University
284,Dave Hoppen,1988,1993,C-F,6-11,235,"March 13, 1964",Nebraska
285,Dennis Hopson,1988,1992,G-F,6-5,200,"April 22, 1965",Ohio State
286,Scotty Hopson,2014,2022,G,6-7,204,"August 8, 1989",Tennessee
287,Johnny Horan,1956,1956,F,6-8,190,"November 24, 1932",Dayton
288,Cedrick Hordges,1981,1982,F-C,6-8,220,"January 8, 1957","Auburn, South Carolina"
289,Al Horford,2008,2022,C-F,6-9,240,"June 3, 1986",Florida
290,Tito Horford,1989,1994,C,7-1,245,"January 19, 1966",Miami (FL)
291,Ron Horn,1962,1968,F,6-7,220,"May 24, 1938",Indiana
292,Jeff Hornacek,1987,2000,G,6-3,190,"May 3, 1963",Iowa State
293,Dennis Horner,2012,2012,F,6-9,230,"February 5, 1988",NC State
294,Robert Horry,1993,2008,F,6-10,240,"August 25, 1970",Alabama
295,Ed Horton,1990,1990,F,6-8,230,"December 17, 1967",Iowa
296,Talen Horton-Tucker,2020,2022,G-F,6-4,234,"November 25, 2000",Iowa State
297,Bill Hosket,1969,1972,F-C,6-8,225,"December 20, 1946",Ohio State
298,Bob Houbregs*,1954,1958,C-F,6-8,225,"March 12, 1932",Washington
299,Danuel House Jr.,2017,2022,G,6-6,220,"June 7, 1993",Texas A&M
300,Eddie House,2001,2011,G,6-1,180,"May 14, 1978",Arizona State
301,Allan Houston,1994,2005,G,6-6,200,"April 20, 1971",Tennessee
302,Byron Houston,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State
303,Tom Hovasse,1995,1995,F,6-8,205,"January 31, 1967",Penn State
304,Brian Howard,1992,1993,F,6-6,204,"October 19, 1967",NC State
305,Dwight Howard,2005,2022,C,6-10,265,"December 8, 1985",
306,Greg Howard,1971,1972,F-C,6-9,215,"January 8, 1948",New Mexico
307,Josh Howard,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest
308,Juwan Howard,1995,2013,F,6-9,240,"February 7, 1973",Michigan
309,Markus Howard,2021,2022,G,5-10,175,"March 3, 1999",Marquette
310,Mo Howard,1977,1977,G,6-2,170,"August 25, 1954",Maryland
311,Otis Howard,1979,1979,F,6-7,220,"November 5, 1956",Austin Peay State University
312,Stephen Howard,1993,1998,F,6-9,225,"July 15, 1970",DePaul
313,William Howard,2020,2020,F,6-8,207,"October 25, 1993",
314,Bailey Howell*,1960,1971,F,6-7,210,"January 20, 1937",Mississippi State
315,Bob Hubbard,1948,1949,C-F,6-6,215,"December 27, 1922",Springfield College
316,Phil Hubbard,1980,1989,F-C,6-8,215,"December 13, 1956",Michigan
317,Lester Hudson,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin
318,Lou Hudson*,1967,1979,F-G,6-5,210,"July 11, 1944",Minnesota
319,Troy Hudson,1998,2008,G,6-1,170,"March 13, 1976","Missouri, Southern Illinois"
320,Marcelo Huertas,2016,2017,G,6-3,200,"May 25, 1983",
321,Kevin Huerter,2019,2022,G,6-7,190,"August 27, 1998",Maryland
322,Josh Huestis,2016,2018,F,6-7,230,"December 19, 1991",Stanford
323,Jay Huff,2022,2022,F-C,7-1,240,"August 25, 1998",Virginia
324,Nate Huffman,2003,2003,C,7-1,245,"April 2, 1975",Central Michigan University
325,Alfredrick Hughes,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola Chicago
326,Eddie Hughes,1988,1990,G,5-10,165,"May 26, 1960",Colorado State
327,Elijah Hughes,2021,2022,F,6-5,215,"March 10, 1998","Syracuse, East Carolina University"
328,Kim Hughes,1976,1981,C,6-11,220,"June 4, 1952",Wisconsin
329,Larry Hughes,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis
330,Rick Hughes,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College
331,Robbie Hummel,2014,2015,F,6-8,215,"March 8, 1989",Purdue
332,John Hummer,1971,1976,F-C,6-9,230,"May 4, 1948",Princeton
333,Ryan Humphrey,2003,2005,F,6-8,235,"July 24, 1979","Oklahoma, Notre Dame"
334,Isaac Humphries,2019,2019,C,7-0,255,"January 5, 1998",Kentucky
